id,area,name,value,statement,anchor,guard,source,asserted
L-MOTION-1,motion,UI feedback duration,150-300ms (large surfaces up to 500ms),UI feedback animates between 150 and 300ms; modals and drawers may take up to 500ms.,skills/siteasy/references/animation-engineering.md,\b150\s*(?:to|-|–)\s*300\s*ms,"Material Design 3 motion duration guidance, cross-checked against WCAG 2.2 SC 2.3.3",2026-08-13
L-MOTION-2,motion,Decorative loop budget,2 per view,"At most two infinite decorative loops per view, each guarded for reduced motion.",skills/siteasy/references/delight.md,,"NullToHero editorial: restraint budget, no external source",2026-08-13
L-MOTION-3,motion,Scrub easing,linear,Scrubbed tweens use linear easing; perceived easing comes from the visitor's scroll.,skills/siteasy/references/parallax.md,,"Parallax practice: a scroll-linked tween must not ease, or it lags the finger",2026-08-13
L-TOUCH-1,touch,Tap target size,24x24px floor (44x44px recommended),"Tap targets clear 24 by 24 CSS pixels, the WCAG 2.5.8 AA conformance floor; 44 by 44 is the recommended comfort target on touch.",skills/siteasy/references/mobile-ergonomics.md,\b24\s*(?:x|×)\s*24\s*(?:px|CSS px),"WCAG 2.2 SC 2.5.8 Target Size (Minimum), AA",2026-08-13
L-TOUCH-2,touch,Target spacing,8px,Adjacent tap targets keep at least 8px of separation.,skills/siteasy/references/mobile-ergonomics.md,\b8\s*px\s+(?:of\s+)?(?:gap|spacing)\s+between\s+(?:touch\s+)?targets,WCAG 2.2 SC 2.5.8 spacing exception,2026-08-13
L-MEDIA-1,media,Referenced video budget,10MB warn / 30MB fail,Referenced video stays under 10 MB; 30 MB is the hard failure line.,skills/siteasy/references/parallax.md,"\b10\s*MB[^\n]{0,40}\b30\s*MB",NullToHero editorial: mobile data budget,2026-08-13
L-MEDIA-2,media,3D model budget,5MB,A 3D model stays under 5 MB or ships Draco/meshopt compression.,skills/siteasy/references/overdrive.md,\bunder\s+5\s*MB\b,NullToHero editorial: hero video budget,2026-08-13
L-MEDIA-3,media,Frame sequence staging,50 warn / 150 fail,Fifty-plus eagerly loaded sequential frames is a burst; stage in a window around the scroll position.,skills/siteasy/references/parallax.md,"\b50\b[^\n]{0,30}\b150\s+(?:frames|images)",NullToHero editorial: image-sequence memory budget,2026-08-13
L-TYPE-1,typography,Body size,16px,Base body text is at least 16px.,skills/siteasy/references/typography.md,"\bbody\s+text[^\n]{0,30}\b16\s*px",WCAG 2.2 SC 1.4.4 plus common mobile reading practice,2026-08-13
L-TYPE-2,typography,Measure,45-75ch (65-75ch optimal),"Body line length sits between 45 and 75 characters, with 65 to 75 the optimal band.",skills/siteasy/references/typography.md,\b45\s*(?:to|-|–)\s*75\s*ch,"Typographic convention: Bringhurst, The Elements of Typographic Style",2026-08-13
L-CONTRAST-1,color,Text contrast,4.5:1 (3:1 large),Body text hits 4.5:1 against its background; 3:1 for large or bold-large text.,skills/siteasy/references/color-and-contrast.md,"\b4\.5:1\b[^\n]{0,30}\b3:1\b[^\n]{0,20}\blarge\b","WCAG 2.2 SC 1.4.3 Contrast (Minimum), AA",2026-08-13
