Token,Kimi Code,Codex,Agent Skills,Hermes,Why
Claude in Chrome,a connected browser,a connected browser,a connected browser,a connected browser,"Neither host ships the Chrome extension; the property that matters is a real browser with the user's session."
Claude Code,Kimi Code,Codex,your coding agent,Hermes Agent,"The host names itself. The neutral package does not know which host reads it."
AskUserQuestion,AskUserQuestion,clarifying-question,clarifying-question,clarify,"Kimi Code exposes the same tool name. Codex documents no equivalent, so the phrase names the act. Hermes's clarify tool is the direct equivalent."
subagent_type,subagent_type,agent_type,agent type,goal,"Kimi Code's Agent tool takes subagent_type. Codex's spawn_agent takes agent_type. The standard names no such parameter. Hermes's delegate_task takes a free-text goal per task instead of a named sub-agent type."
WebFetch,FetchURL,fetch,fetch,web_extract,"Kimi Code renamed it. Codex documents no tool name for skills, and neither does the standard. Hermes's web_extract is the direct equivalent."
Task tool,Agent tool,spawn_agent tool,sub-agent delegation,delegate_task,"The delegation tool of each host. The standard covers skills only, so the neutral package names the act rather than a tool. Hermes exposes delegate_task directly: real parallel sub-agents, one spawn call per task in the same tasks array."
`Task`,`Agent`,`spawn_agent`,sub-agent delegation,`delegate_task`,"Same, in its backticked form."
Read tool,Read tool,file reader,file reader,read_file tool,"Kimi Code exposes Read. Codex documents no tool name for skills."
Edit tool,Edit tool,file editor,file editor,patch tool,"Kimi Code exposes Edit."
