Token,Kimi Code,Codex,Agent Skills,Why
Claude in Chrome,a connected browser,a connected browser,a connected browser,"Neither host ships the Chrome extension; the property that matters is a real browser with the user's session."
Claude Code,Kimi Code,Codex,your coding agent,"The host names itself. The neutral package does not know which host reads it."
AskUserQuestion,AskUserQuestion,clarifying-question,clarifying-question,"Kimi Code exposes the same tool name. Codex documents no equivalent, so the phrase names the act."
subagent_type,subagent_type,agent_type,agent type,"Kimi Code's Agent tool takes subagent_type. Codex's spawn_agent takes agent_type. The standard names no such parameter."
WebFetch,FetchURL,fetch,fetch,"Kimi Code renamed it. Codex documents no tool name for skills, and neither does the standard."
Task tool,Agent tool,spawn_agent tool,sub-agent delegation,"The delegation tool of each host. The standard covers skills only, so the neutral package names the act rather than a tool."
`Task`,`Agent`,`spawn_agent`,sub-agent delegation,"Same, in its backticked form."
Read tool,Read tool,file reader,file reader,"Kimi Code exposes Read. Codex documents no tool name for skills."
Edit tool,Edit tool,file editor,file editor,"Kimi Code exposes Edit."
